ID,score_tag,agreement,subjectivity,confidence,irony,Happy,Fear,Sad,Bored,Angry,Excited,Class
1340,P,AGREEMENT,SUBJECTIVE,92,NONIRONIC,0.0464242368,0.1824800293,0.4001197182,0.0755177995,0.2398469469,0.0556112694,0
1341,N,AGREEMENT,OBJECTIVE,100,NONIRONIC,0.2690994204,0.0996263118,0.0567630202,0.0222183639,0.3927395254,0.1595533583,0
1342,N,AGREEMENT,OBJECTIVE,92,NONIRONIC,0.1244703701,0.1063627968,0.1356359176,0.1071862758,0.4241622899,0.1021823498,1
1343,N,DISAGREEMENT,SUBJECTIVE,92,NONIRONIC,0.1593543079,0.0719667177,0.1025530695,0.0233954657,0.3314286627,0.3113017764,0
1344,N,AGREEMENT,OBJECTIVE,92,NONIRONIC,0.1547325222,0.2008460946,0.0963349778,0.1180124325,0.2199863787,0.2100875943,1
1345,N,AGREEMENT,OBJECTIVE,100,NONIRONIC,0.1244658793,0.1465233635,0.1227187393,0.0869750469,0.242430253,0.2768867181,0
1346,NONE,AGREEMENT,OBJECTIVE,100,NONIRONIC,0.035644069,0.1799430347,0.2651873173,0.1383476112,0.3092797134,0.0715982544,1
1347,NEU,DISAGREEMENT,SUBJECTIVE,94,NONIRONIC,0.2243541033,0.2036351781,0.1200652889,0.0409137025,0.1309142932,0.2801174341,1
1348,N,AGREEMENT,SUBJECTIVE,100,NONIRONIC,0.0256257146,0.0906587881,0.1287492341,0.3778463133,0.3358408443,0.0412791055,1
1349,NONE,AGREEMENT,OBJECTIVE,100,NONIRONIC,0.0885259464,0.1884482518,0.2442627701,0.1115468106,0.2741095421,0.0931066791,1
1350,N,AGREEMENT,OBJECTIVE,100,NONIRONIC,0.0559655214,0.165732441,0.2048939451,0.1934134842,0.2737096495,0.1062849589,1
1351,P,AGREEMENT,SUBJECTIVE,100,NONIRONIC,0.0552168643,0.1396824309,0.1398948584,0.3516296073,0.2252066976,0.0883695415,0
1352,N,AGREEMENT,SUBJECTIVE,100,NONIRONIC,0.0603500437,0.2245546237,0.2817302257,0.0287640588,0.3132809751,0.091320073,1
1353,N,DISAGREEMENT,OBJECTIVE,94,NONIRONIC,0.037450535,0.1881895719,0.1843061979,0.0908719342,0.4242507627,0.0749309982,1
1354,NONE,AGREEMENT,OBJECTIVE,100,NONIRONIC,0.1689505914,0.1608692136,0.2543357306,0.0,0.2542059405,0.1616385239,1
1355,N+,AGREEMENT,OBJECTIVE,100,NONIRONIC,0.1308538016,0.2157743491,0.1746233698,0.1493973355,0.1543483397,0.1750028044,0
1356,NEU,DISAGREEMENT,OBJECTIVE,94,NONIRONIC,0.0837114391,0.246849214,0.1574739373,0.1299093141,0.2603408416,0.1217152539,1
1357,N+,AGREEMENT,OBJECTIVE,100,NONIRONIC,0.1150332963,0.1064270618,0.1479653753,0.1485012909,0.3868320133,0.0952409625,0
1358,N,DISAGREEMENT,SUBJECTIVE,94,NONIRONIC,0.1261516758,0.1778194304,0.1537369896,0.1931319567,0.2221245939,0.1270353536,1
1359,N,AGREEMENT,SUBJECTIVE,92,NONIRONIC,0.2493502659,0.0732421314,0.1038981471,0.0217132629,0.2025306442,0.3492655485,0
1360,NONE,AGREEMENT,OBJECTIVE,100,NONIRONIC,0.0974158194,0.2794340882,0.1641832271,0.0947029446,0.0928468819,0.2714170389,0
1361,N,AGREEMENT,OBJECTIVE,100,NONIRONIC,0.0992524038,0.2102335975,0.1441195964,0.0993531332,0.2034217123,0.2436195567,0
1362,P,DISAGREEMENT,SUBJECTIVE,94,NONIRONIC,0.1140726389,0.1476252745,0.1555331168,0.1262777878,0.3204272477,0.1360639342,1
1363,P,AGREEMENT,OBJECTIVE,100,NONIRONIC,0.2267133579,0.0558093026,0.0290015759,0.024069252,0.2348164553,0.4295900562,0
1364,NONE,AGREEMENT,OBJECTIVE,100,NONIRONIC,0.2655781503,0.1813234323,0.1280375061,0.0478870565,0.1048240929,0.2723497619,0
1365,P,AGREEMENT,SUBJECTIVE,100,NONIRONIC,0.1980201719,0.2630449824,0.1364476972,0.0787424775,0.1080553322,0.2156893387,0
1366,N+,AGREEMENT,OBJECTIVE,100,NONIRONIC,0.0129925425,0.0701628475,0.1909653374,0.0248425728,0.6878281033,0.0132085964,1
1367,N,DISAGREEMENT,OBJECTIVE,94,NONIRONIC,0.0574196692,0.1088127681,0.1232766819,0.1355288988,0.5319454466,0.0430165353,1
1368,N,DISAGREEMENT,SUBJECTIVE,92,NONIRONIC,0.1792364159,0.2523526004,0.15318605,0.0411360294,0.1268847506,0.2472041536,0
1369,N,DISAGREEMENT,SUBJECTIVE,94,NONIRONIC,0.0434319979,0.0604771236,0.1001215199,0.1182570593,0.6310818938,0.0466304054,0
1370,N,DISAGREEMENT,OBJECTIVE,94,NONIRONIC,0.0615987112,0.1254782305,0.2251070416,0.2704811395,0.2635574125,0.0537774646,1
